SORTER,mother,father,telo.change,telo0ln,year,sex,hatch.order,clutchsize,median.hatch.date,maternal.age,growth.rate,days.between,mass.at.first.measure,age.at.first.measure,paternal.age,mass.at.first.measurement,age.at.first.measurement
10,WNBT,RIBL,NA,-0.155484902840395,2010,1,1,3,-4,10,46.2285714285714,32,44.9,1,12,44.9,1
11,WNBT,RIBL,NA,-0.155484902840395,2010,1,3,3,-3,10,55.8666666666667,31,49.2,1,12,49.2,1
239,YDAL,RNJP,NA,-0.151986356997882,2011,NA,1,3,-2,10,NA,NA,NA,0,15,NA,0
316,RHAZ,RLIZ,NA,-0.147340587898709,2011,1,1,3,9,15,NA,NA,42,1,11,42,1
48,WFFL,RICT,NA,-0.142716302201595,2010,2,2,3,-8,10,NA,29,38.5,1,12,38.5,1
52,RIFI,RHAS,NA,-0.110931560707282,2010,1,1,3,-4,14,42.8761904761905,31,52.4,1,NA,NA,NA
313,RLHA,WDPA,NA,-0.108699416923341,2011,1,3,4,-3,3,NA,NA,31.2,0,11,31.2,0
318,WLLB,WBLB,NA,-0.0693500781347932,2011,1,1,3,-5,8,NA,NA,35,0,14,35,0
209,RNSB,RLNB,NA,-0.0120725812342692,2010,1,1,3,-4,8,49.905,30,38.9,1,7,38.9,1
279,RNSA,WXDB,NA,0,2011,1,1,3,-1,4,NA,NA,30.5,0,5,30.5,0
51,RNDD,RLNZ,NA,0.0109399400383343,2010,1,2,3,-7,14,NA,30,NA,0,14,NA,0
111,RFAX,RHAX,NA,0.0861776962410524,2010,1,1,4,-3,8,NA,NA,35.6,1,NA,NA,NA
361,RXJX,BJNA,NA,0.0898407039997895,2011,2,1,3,10,3,58.2894736842105,33,30.5,0,2,30.5,0
290,RNBS,RLNB,NA,0.0971267107307228,2011,2,3,3,-3,9,55.7894736842105,27,45.6,0,NA,NA,NA
282,GZAU,RXFJ,NA,0.12751332029896,2011,2,1,3,2,3,NA,NA,41.5,0,3,41.5,0
298,BLTL,RJTH,NA,0.133656384812674,2011,1,1,3,12,2,NA,NA,31.5,0,3,31.5,0
240,YDAL,RNJP,NA,0.25619140536041,2011,NA,2,3,-1,10,NA,NA,46,1,15,46,1
289,RNBS,RLNB,NA,0.263133199530368,2011,2,2,3,-6,9,62.1052631578947,28,56,2,NA,NA,NA
208,RNSB,RLNB,NA,0.31042155942127,2010,1,2,3,-2,8,47.865,28,45.9,1,7,45.9,1
321,RIDB,GSAX,NA,0.342170257735851,2011,NA,1,3,9,10,NA,NA,36,0,3,36,0
200,WXTN,RICL,NA,0.378436435720245,2010,1,1,3,6,4,NA,NA,45.3,0,13,45.3,0
392,WXTN,BZAS,NA,0.506215011208307,2011,2,3,3,27,5,NA,NA,34,0,2,34,0
252,GBAC,RXLF,0,-0.471604910612709,2011,2,1,3,5,5,52.5555555555556,27,43,2,2,43,2
250,BHAL,RIDU,-0.004,-0.487760350834995,2011,1,3,3,1,9,55.9375,25,43,1,4,43,1
323,RIDL,WHNL,-0.005,-0.908818717035454,2011,1,2,3,-3,12,64.0277777777778,28,37.1,1,7,37.1,1
388,RXJS,GSDX,0.005,-0.322963886596421,2011,1,2,3,20,3,57.6388888888889,26,44,1,3,44,1
356,RHXC,RNSF,-0.0069999999999999,0.420682073913025,2011,1,3,3,1,9,48.0555555555556,24,46,1,10,46,1
36,WPDH,RLFD,0.01,-0.403467105445491,2010,2,3,4,6,7,48.395,25,46.2,1,15,46.2,1
100,WLPT,RDUX,0.01,0.336472236621213,2010,1,1,3,-1,7,44.68,30,42.1,0,9,42.1,0
360,BLDX,BJLU,-0.01,0.413433277757341,2011,2,3,3,32,2,43.8888888888889,26,35,0,2,35,0
344,GABA,RFAT,-0.012,-0.332679438382517,2011,1,2,3,-5,12,55,29,42,0,NA,NA,NA
203,WLUC,WLNP,-0.0169999999999999,-0.204567165741274,2010,2,3,4,-5,7,59.3263157894737,26,43.3,1,7,43.3,1
9,YZNF,RLIS,-0.019,0.00399202126953746,2010,1,3,4,-3,9,42.745,29,34.9,0,9,34.9,0
280,RNSA,WXDB,0.02,-0.0345914447696191,2011,1,2,3,0,4,44.4444444444444,28,34,0,5,34,0
117,GABA,RFAT,-0.023,-0.388607991041741,2010,2,1,3,-5,11,64.865,31,49.2,1,NA,NA,NA
393,GSPU,BNLI,-0.024,-0.450985623409974,2011,1,1,3,8,3,50.3947368421053,29,44,1,2,44,1
332,BHTJ,RICL,0.028,-0.27443684570176,2011,2,3,3,-3,9,61.7105263157895,27,30.8,0,14,30.8,0
285,RIBS,RHCT,0.033,-0.25618340539241,2011,1,3,3,-6,10,48.8888888888889,26,41,0,NA,NA,NA
319,GSJH,RXJZ,0.034,0.260824618281898,2011,1,1,4,5,3,52.1052631578947,27,44,1,NA,NA,NA
295,RLLZ,RLLH,0.0349999999999999,-0.390084006069862,2011,2,1,3,-11,6,64.0555555555556,28,39,0,10,39,0
37,WPDH,RLFD,0.035,-0.659712404473708,2010,1,2,4,2,7,51.025,29,41.5,1,NA,NA,NA
389,RXJS,GSDX,-0.035,-0.476424197048658,2011,2,1,3,22,3,58.25,25,36.5,0,3,36.5,0
265,RNDD,RLNZ,0.0369999999999999,0.0295588022415444,2011,2,2,3,-4,15,58.8888888888889,27,41,0,15,41,0
199,WXTN,RICL,-0.0389999999999999,0.0478373294141601,2010,1,2,3,7,4,52.6388888888889,27,57,1,13,57,1
82,GLSF,RLNC,0.039,-0.794073099149906,2010,1,2,4,2,9,49.7818181818182,29,38.1,1,14,38.1,1
5,GBHI,RNPB,0.04,-0.148500008318444,2010,2,2,3,-7,4,56.015,31,36,1,7,36,1
384,RNHB,RFTD,0.0410000000000001,0.0324671901375014,2011,2,2,3,2,4,62.8571428571429,30,42.5,0,NA,NA,NA
325,RLNL,GLUX,0.044,-1.14885350510486,2011,2,2,3,-3,13,63.2352941176471,27,41.9,1,10,41.9,1
243,RLJA,RHXJ,-0.0449999999999999,0.138891998866619,2011,1,1,3,1,8,54.1666666666667,27,41,1,NA,NA,NA
343,GABA,RFAT,-0.0459999999999999,-0.316081546973479,2011,1,1,3,-5,12,57.5,29,43,0,NA,NA,NA
35,RLJA,RHXJ,-0.0499999999999999,-0.324346056823372,2010,1,2,3,3,7,53.6933333333333,28,40.3,0,NA,NA,NA
312,RLHA,WDPA,-0.05,-1.20064501423326,2011,2,1,4,-6,3,48.6111111111111,27,40.4,2,11,40.4,2
83,GLSF,RLNC,0.0519999999999999,-0.667479433811368,2010,2,1,4,2,9,54.8454545454545,29,39.3,1,14,39.3,1
333,RNDI,1398954,-0.0589999999999999,0.321358598811165,2011,2,1,3,-6,10,60.9210526315789,29,35.5,0,NA,NA,NA
191,RIFL,RDUT,-0.06,-0.798507696217772,2010,2,1,3,-3,13,NA,28,35.8,0,13,35.8,0
116,GABA,RFAT,-0.0620000000000001,-0.610645959048202,2010,1,2,3,-5,11,55.95,31,41.8,1,NA,NA,NA
340,RIFL,RDUT,-0.084,-0.113168698105638,2011,2,3,3,1,14,61.25,27,39,0,14,39,0
